step,date_main,price_main,action_main,action_name_main,prob_hold_main,prob_buy_main,prob_sell_main,confidence_main,value_estimate_main,portfolio_value_main,cash_main,position_value_main,position_quantity_main,rsi_14_main,macd_main,sma_20_main,sma_50_main,bb_position_main,date_other,price_other,action_other,action_name_other,prob_hold_other,prob_buy_other,prob_sell_other,confidence_other,value_estimate_other,portfolio_value_other,cash_other,position_value_other,position_quantity_other,rsi_14_other,macd_other,sma_20_other,sma_50_other,bb_position_other,disagreement,price_change_next_5d,main_was_right
24,2024-09-13,60571.30078125,1,BUY,0.31057933,0.4622821,0.22713856,0.4622821,0.14997345209121704,99718.77560477797,76089.62133478296,23629.154269995008,0.4065090148505426,54.255212210486505,-664.871751314502,58243.213671875,60016.3865625,0.7268902223690906,2024-09-13,60571.30078125,2,SELL,0.31101373,0.338645,0.35034126,0.35034126,0.3448716998100281,99751.32109381192,99751.32109381192,0.0,0.0,54.255212210486505,-664.871751314502,58243.213671875,60016.3865625,0.7268902223690906,True,0.017803462899773415,True
25,2024-09-14,60005.12109375,1,BUY,0.33508015,0.45407352,0.21084633,0.45407352,0.09022293239831924,100711.39401957336,75081.49019933568,25629.903820237683,0.4231360972880326,52.96184692949939,-438.7193369947054,58026.792578125,59858.247734375,0.7271167801558575,2024-09-14,60005.12109375,2,SELL,0.29891753,0.33667976,0.36440274,0.36440274,0.43913644552230835,99751.32109381192,99751.32109381192,0.0,0.0,52.96184692949939,-438.7193369947054,58026.792578125,59858.247734375,0.7271167801558575,True,0.04891809038955075,True
26,2024-09-15,59182.8359375,1,BUY,0.3362046,0.44039944,0.22339599,0.44039944,0.088979072868824,100470.81823801128,74075.7672515437,26395.050986467584,0.4398799719982039,55.57633456811176,-322.13014351628954,57841.9013671875,59685.637734375,0.6782618814349708,2024-09-15,59182.8359375,2,SELL,0.31073523,0.33080345,0.35846132,0.35846132,0.3550962805747986,99751.32109381192,99751.32109381192,0.0,0.0,55.57633456811176,-322.13014351628954,57841.9013671875,59685.637734375,0.6782618814349708,True,0.06775850736917888,True
27,2024-09-16,58192.5078125,1,BUY,0.3318723,0.42766535,0.24046238,0.42766535,0.170284241437912,100108.11037539084,73073.67504576399,27034.43532962685,0.4567951991718773,47.09919134106528,-306.11486921251344,57776.3201171875,59484.370546875,0.5564850625706216,2024-09-16,58192.5078125,1,BUY,0.29323155,0.3539576,0.35281083,0.3539576,0.22028492391109467,99751.32109381192,99751.32109381192,0.0,0.0,47.09919134106528,-306.11486921251344,57776.3201171875,59484.370546875,0.5564850625706216,False,0.08939865674825787,True
28,2024-09-17,60308.5390625,1,BUY,0.30026713,0.44743797,0.25229496,0.44743797,0.1276998519897461,99654.73668495353,72076.12115600871,27578.61552894482,0.47392038194684605,58.83120482759679,-121.27858741653472,57840.3658203125,59354.143046875,0.8232493495471692,2024-09-17,60308.5390625,2,SELL,0.30769655,0.32350853,0.36879492,0.36879492,0.24488483369350433,99750.32358060098,98752.81036966285,997.5132109381193,0.017141608919006738,58.83120482759679,-121.27858741653472,57840.3658203125,59354.143046875,0.8232493495471692,True,0.05538472539582595,True
29,2024-09-18,61649.6796875,1,BUY,0.3056416,0.4406468,0.25371164,0.4406468,0.1082836464047432,100656.56044749476,71068.53891010683,29588.021537387933,0.4906108156048144,60.759594921712164,131.90383236569323,57953.4408203125,59263.116328125,0.9472890011245091,2024-09-18,61649.6796875,2,SELL,0.307409,0.32957405,0.363017,0.363017,0.26624447107315063,99785.56197535778,99785.56197535778,0.0,0.0,60.759594921712164,131.90383236569323,57953.4408203125,59263.116328125,0.9472890011245091,True,0.027252714081670293,True
30,2024-09-19,62940.45703125,1,BUY,0.31668937,0.43501705,0.24829358,0.43501705,0.039987899363040924,101313.52539798133,70054.38037928773,31259.145018693598,0.5070447271931513,70.45597151462667,431.7309427236687,58144.48984375,59229.54046875,1.0127936165779967,2024-09-19,62940.45703125,2,SELL,0.30376914,0.32902646,0.36720446,0.36720446,0.25456660985946655,99785.56197535778,99785.56197535778,0.0,0.0,70.45597151462667,431.7309427236687,58144.48984375,59229.54046875,1.0127936165779967,True,0.021631741855226982,True
31,2024-09-20,63192.9765625,1,BUY,0.32797033,0.42575163,0.24627809,0.42575163,0.05053026229143143,101966.9875640377,69033.68062677419,32933.306937263515,0.5232454368882656,81.63037815241738,681.8622203662599,58355.64375,59186.25,0.9663155111723689,2024-09-20,63192.9765625,2,SELL,0.30014324,0.3201158,0.37974095,0.37974095,0.2562354803085327,99785.56197535778,99785.56197535778,0.0,0.0,81.63037815241738,681.8622203662599,58355.64375,59186.25,0.9663155111723689,True,-0.0007885691410771667,False
32,2024-09-21,63394.83984375,1,BUY,0.32943404,0.44316003,0.22740597,0.44316003,0.008990027010440826,102098.09626531688,68011.66846303674,34086.42780228014,0.5394021560064908,81.64410741574439,886.1665632302174,58659.111328125,59225.84546875,0.9209757624022317,2024-09-21,63394.83984375,2,SELL,0.31498075,0.32723606,0.35778317,0.35778317,0.33591270446777344,99785.56197535778,99785.56197535778,0.0,0.0,81.64410741574439,886.1665632302174,58659.111328125,59225.84546875,0.9209757624022317,True,0.028175474406157086,True
33,2024-09-22,63648.7109375,1,BUY,0.32848886,0.4406324,0.23087868,0.4406324,0.04696395993232727,102206.98175444167,68011.66846303674,34195.313291404935,0.5394021560064908,81.06399353872837,1056.3871292121694,58885.9228515625,59285.2178125,0.8935317230259116,2024-09-22,63648.7109375,2,SELL,0.3152888,0.3151202,0.36959103,0.36959103,0.3268648087978363,99785.56197535778,99785.56197535778,0.0,0.0,81.06399353872837,1056.3871292121694,58885.9228515625,59285.2178125,0.8935317230259116,True,0.033652733785972444,True
